epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1109.58,2.34694,3.92121,2.27558,0.06542,0.0786,0.02054,0.00655,2.59675,5.12745,2.19802,0.000663818,0.000663818,0.000663818
2,2028.4,2.2922,3.21179,2.20649,0.40755,0.11354,0.08891,0.0443,2.27931,3.84394,2.04479,0.00130414,0.00130414,0.00130414
3,6092.47,2.19907,2.92552,2.17479,0.34027,0.28605,0.21178,0.07377,2.2398,3.12949,2.16119,0.00191806,0.00191806,0.00191806
4,8955.03,2.17076,2.79238,2.17141,0.36038,0.44541,0.2969,0.13533,1.9046,2.73536,1.70936,0.0018812,0.0018812,0.0018812
5,10858.9,2.11526,2.62293,2.11389,0.39696,0.37943,0.30635,0.13303,1.86985,2.40136,1.68611,0.0018416,0.0018416,0.0018416
6,12759,2.06539,2.55705,2.04057,0.45461,0.37856,0.33812,0.15825,1.77521,2.32144,1.57981,0.001802,0.001802,0.001802
7,14740.7,2.06647,2.51382,2.07904,0.41971,0.42956,0.36473,0.17781,1.81245,2.29872,1.6497,0.0017624,0.0017624,0.0017624
8,23846.5,2.00524,2.40168,1.99562,0.28163,0.39738,0.25281,0.11549,1.73966,2.54317,1.62804,0.0017228,0.0017228,0.0017228
9,25870.5,1.94384,2.38785,1.98624,0.36854,0.37118,0.30292,0.13809,1.82022,2.50779,1.56963,0.0016832,0.0016832,0.0016832
10,28368.2,1.92921,2.35812,1.97479,0.26977,0.42358,0.25493,0.11176,1.72669,2.45551,1.59554,0.0016436,0.0016436,0.0016436
11,30445.1,1.91476,2.3687,1.93933,0.46609,0.42795,0.37819,0.16746,1.74229,2.23501,1.62009,0.001604,0.001604,0.001604
12,32252.5,1.90174,2.2266,1.95708,0.48402,0.44541,0.42285,0.19481,1.76024,2.05517,1.60797,0.0015644,0.0015644,0.0015644
13,37112.1,1.89707,2.23032,1.9354,0.46787,0.44105,0.4084,0.18066,1.83711,2.23529,1.67837,0.0015248,0.0015248,0.0015248
14,39038,1.87837,2.20384,1.92054,0.56159,0.48106,0.48588,0.22459,1.66254,1.90828,1.54256,0.0014852,0.0014852,0.0014852
15,40925.1,1.84603,2.11731,1.88484,0.45738,0.44978,0.38988,0.19385,1.62648,1.98985,1.4902,0.0014456,0.0014456,0.0014456
